equipment_id,mine_id,mine_name,equipment_type,equipment_model,age_years,total_lifetime_hours,monthly_operating_hours,monthly_downtime_hours,breakdown_hours,scheduled_pm_hours,availability_pct,utilization_pct,mtbf_hours,mttr_hours,health_score,status,hourly_capacity_tph,monthly_production_tonnes,fuel_efficiency_lph,last_service_days_ago,is_synthetic
EXC-01-01,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),8.3,27686,612.7,48.2,14.9,33.4,93.3,91.2,306.4,7.4,52,High Breakdown Risk,280.0,142565,34.4,14,True
EXC-01-02,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),2.4,8055,610.2,40.7,6.9,33.8,94.3,89.8,610.2,6.9,82,Healthy,280.0,131504,33.7,3,True
EXC-01-03,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),3.8,12347,647.6,24.0,3.1,20.9,96.7,93.0,647.6,3.1,81,Healthy,280.0,125737,29.7,33,True
EXC-01-04,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),5.6,19061,578.5,54.7,23.8,30.9,92.4,87.0,192.8,7.9,47,High Breakdown Risk,280.0,108338,32.2,27,True
EXC-01-05,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),4.3,14396,617.8,31.2,1.5,29.7,95.7,89.7,617.8,1.5,79,Warning / Inspection Due,280.0,143379,31.0,35,True
EXC-01-06,MOIL-DB-01,Dongri Buzurg Mine,EXC,Hydraulic Excavator (Komatsu PC300),3.1,11201,649.2,26.8,0.6,26.2,96.3,93.7,649.2,0.6,90,Healthy,280.0,118750,34.2,20,True
DMP-01-01,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),8.4,27721,577.1,68.6,34.1,34.5,90.5,88.6,115.4,6.8,35,High Breakdown Risk,140.0,53667,15.2,20,True
DMP-01-02,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),7.9,26021,555.0,75.8,43.5,32.3,89.5,86.2,79.3,6.2,35,High Breakdown Risk,140.0,64043,17.1,34,True
DMP-01-03,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),6.4,21629,610.1,48.7,23.0,25.7,93.2,90.9,203.4,7.7,45,High Breakdown Risk,140.0,63350,16.1,40,True
DMP-01-04,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),6.1,19472,574.5,64.0,30.0,34.0,91.1,87.6,114.9,6.0,39,High Breakdown Risk,140.0,57893,17.5,26,True
DMP-01-05,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),2.0,6681,613.9,52.3,21.8,30.5,92.7,91.9,204.6,7.3,64,Warning / Inspection Due,140.0,57155,14.5,34,True
DMP-01-06,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),2.7,9968,597.0,44.5,15.0,29.6,93.8,88.4,298.5,7.5,72,Warning / Inspection Due,140.0,65640,15.0,30,True
DMP-01-07,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),2.3,7943,610.0,31.7,3.1,28.6,95.6,88.6,610.0,3.1,91,Healthy,140.0,57200,17.4,39,True
DMP-01-08,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),5.3,16876,622.7,46.3,18.6,27.8,93.6,92.4,207.6,6.2,57,High Breakdown Risk,140.0,58900,13.7,42,True
DMP-01-09,MOIL-DB-01,Dongri Buzurg Mine,DMP,Heavy Dumper (BEML BH35),3.7,12233,641.5,25.9,5.2,20.6,96.4,92.4,641.5,5.2,78,Warning / Inspection Due,140.0,69700,18.0,32,True
