hole_id,mine_id,x,y,latitude,longitude,collar_elevation,depth_from,depth_to,sample_depth,sample_elevation,thickness,lithology,mn_grade,fe_grade,sio2,p_content,density,core_recovery_pct,sat_iron_oxide,sat_clay_index,is_synthetic
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,0.0,11.6,5.8,335.8,11.6,Phyllite & Weathered Overburden,2.39,10.05,66.59,0.0401,2.8,79.8,2.676,2.6,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,11.6,16.6,14.1,327.5,5.0,Phyllite & Weathered Overburden,2.33,11.82,50.35,0.05,2.65,91.8,2.768,2.353,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,16.6,38.7,27.65,313.95,22.1,Quartz-Muscovite Schist,10.53,7.76,59.91,0.0517,3.03,95.9,1.866,2.6,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,38.7,51.7,45.2,296.4,13.0,Quartz-Muscovite Schist,10.25,4.21,58.6,0.0737,2.95,90.2,1.562,2.437,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,51.7,53.2,52.45,289.15,1.5,Quartz-Muscovite Schist,1.83,8.9,59.89,0.1014,3.02,95.9,2.176,2.6,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,53.2,75.4,64.3,277.3,22.2,Quartz-Muscovite Schist,10.37,8.23,61.87,0.1263,3.04,95.6,2.627,2.517,True
DH-01-001,MOIL-DB-01,-301.1,1081.71,21.557517,79.701277,341.6,75.4,115.9,95.65,245.95,40.5,Calc-Silicate Granulite,3.24,3.11,59.31,0.1013,2.77,95.5,1.728,2.6,True
DH-01-002,MOIL-DB-01,362.58,995.9,21.556746,79.70772,347.5,0.0,6.3,3.15,344.35,6.3,Phyllite & Weathered Overburden,6.46,11.21,55.86,0.0532,2.69,99.0,2.627,2.532,True
DH-01-002,MOIL-DB-01,362.58,995.9,21.556746,79.70772,347.5,6.3,30.9,18.6,328.9,24.6,Gondite (Manganiferous Quartzite),24.42,12.18,34.83,0.1251,3.26,92.5,2.736,1.865,True
DH-01-002,MOIL-DB-01,362.58,995.9,21.556746,79.70772,347.5,30.9,32.3,31.6,315.9,1.4,High-Grade Braunite Ore,33.54,5.75,14.92,0.1809,3.85,94.5,1.886,1.284,True
DH-01-002,MOIL-DB-01,362.58,995.9,21.556746,79.70772,347.5,32.3,72.6,52.45,295.05,40.3,High-Grade Braunite Ore,44.55,8.52,12.24,0.2028,4.05,90.0,2.159,1.217,True
DH-01-002,MOIL-DB-01,362.58,995.9,21.556746,79.70772,347.5,72.6,99.4,86.0,261.5,26.8,Gondite (Manganiferous Quartzite),29.19,8.06,36.75,0.2035,3.32,88.0,1.987,1.916,True
DH-01-003,MOIL-DB-01,1062.98,-424.31,21.543988,79.71452,330.94,0.0,8.3,4.15,326.79,8.3,Phyllite & Weathered Overburden,6.99,6.04,67.95,0.0693,2.79,98.2,1.888,2.6,True
DH-01-003,MOIL-DB-01,1062.98,-424.31,21.543988,79.71452,330.94,8.3,31.4,19.85,311.09,23.1,Phyllite & Weathered Overburden,6.76,8.72,55.3,0.1008,2.64,88.6,2.076,2.459,True
DH-01-003,MOIL-DB-01,1062.98,-424.31,21.543988,79.71452,330.94,32.3,88.7,60.5,270.44,56.4,Calc-Silicate Granulite,9.93,6.29,71.64,0.1018,2.98,99.0,1.92,2.6,True
DH-01-003,MOIL-DB-01,1062.98,-424.31,21.543988,79.71452,330.94,88.7,127.3,108.0,222.94,38.6,Quartz-Muscovite Schist,4.92,4.54,65.65,0.1552,2.79,79.7,1.78,2.6,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,0.0,18.8,9.4,332.36,18.8,Phyllite & Weathered Overburden,3.69,5.65,65.64,0.139,2.65,94.6,1.721,2.6,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,18.8,38.7,28.75,313.01,19.9,Gondite (Manganiferous Quartzite),28.14,13.14,26.94,0.1523,3.69,88.4,2.887,1.699,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,38.7,40.5,39.6,302.16,1.8,Banded Hematite-Manganese Quartzite,20.09,12.39,40.91,0.2504,3.32,97.8,2.603,2.148,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,40.5,48.2,44.35,297.41,7.7,Gondite (Manganiferous Quartzite),29.04,13.26,38.07,0.1387,3.4,87.9,2.735,1.899,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,48.2,59.7,53.95,287.81,11.5,Gondite (Manganiferous Quartzite),23.11,15.14,39.52,0.279,3.48,95.1,3.052,2.301,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,59.7,64.0,61.85,279.91,4.3,Banded Hematite-Manganese Quartzite,18.32,13.16,29.07,0.3081,3.72,95.6,2.717,1.708,True
DH-01-004,MOIL-DB-01,810.5,421.66,21.551588,79.712069,341.76,64.0,73.0,68.5,273.26,9.0,Banded Hematite-Manganese Quartzite,30.07,11.43,47.23,0.3127,3.67,89.8,2.501,2.098,True
DH-01-005,MOIL-DB-01,-793.22,136.32,21.549025,79.696499,351.81,0.0,8.9,4.45,347.36,8.9,Phyllite & Weathered Overburden,7.94,5.96,61.3,0.1008,2.52,89.4,2.073,2.496,True
