block_id,mine_id,x,y,z_elevation,depth_below_surface,latitude,longitude,block_volume_m3,rock_density_tpm3,total_tonnage,predicted_mn_grade,contained_mn_tonnes,confidence_score,resource_classification,geological_category,stripping_ratio,est_extraction_cost_inr,is_synthetic
BLK-01-X00Y00-B1,MOIL-DB-01,-1000.0,-1000.0,305.0,15.0,21.538817,79.694491,150000.0,3.45,517500.0,30.18,156181.5,0.76,122 (Indicated Resource),Medium Grade Gondite,1.42,641.4,True
BLK-01-X00Y00-B2,MOIL-DB-01,-1000.0,-1000.0,290.0,30.0,21.538817,79.694491,150000.0,3.95,592500.0,39.49,233978.3,0.88,111 (Measured Resource),High Grade Braunite,2.99,839.55,True
BLK-01-X00Y00-B3,MOIL-DB-01,-1000.0,-1000.0,275.0,45.0,21.538817,79.694491,150000.0,3.95,592500.0,37.11,219876.8,0.88,111 (Measured Resource),High Grade Braunite,4.68,1043.1,True
BLK-01-X00Y00-B4,MOIL-DB-01,-1000.0,-1000.0,260.0,60.0,21.538817,79.694491,150000.0,3.45,517500.0,33.65,174138.7,0.76,122 (Indicated Resource),Medium Grade Gondite,5.2,1194.0,True
BLK-01-X00Y01-B1,MOIL-DB-01,-1000.0,-800.0,305.0,15.0,21.540614,79.694491,150000.0,3.45,517500.0,25.79,133463.2,0.76,122 (Indicated Resource),Medium Grade Gondite,3.18,720.6,True
BLK-01-X00Y01-B2,MOIL-DB-01,-1000.0,-800.0,290.0,30.0,21.540614,79.694491,150000.0,3.45,517500.0,30.27,156647.2,0.76,122 (Indicated Resource),Medium Grade Gondite,2.79,830.55,True
BLK-01-X00Y01-B3,MOIL-DB-01,-1000.0,-800.0,275.0,45.0,21.540614,79.694491,150000.0,3.45,517500.0,30.42,157423.5,0.76,122 (Indicated Resource),Medium Grade Gondite,2.78,957.6,True
BLK-01-X00Y01-B4,MOIL-DB-01,-1000.0,-800.0,260.0,60.0,21.540614,79.694491,150000.0,3.45,517500.0,23.75,122906.2,0.76,122 (Indicated Resource),Medium Grade Gondite,5.16,1192.2,True
BLK-01-X00Y02-B1,MOIL-DB-01,-1000.0,-600.0,305.0,15.0,21.54241,79.694491,150000.0,2.85,427500.0,13.04,55746.0,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,1.98,666.6,True
BLK-01-X00Y02-B2,MOIL-DB-01,-1000.0,-600.0,290.0,30.0,21.54241,79.694491,150000.0,3.45,517500.0,28.01,144951.8,0.76,122 (Indicated Resource),Medium Grade Gondite,3.81,876.45,True
BLK-01-X00Y02-B3,MOIL-DB-01,-1000.0,-600.0,275.0,45.0,21.54241,79.694491,150000.0,3.45,517500.0,29.58,153076.5,0.76,122 (Indicated Resource),Medium Grade Gondite,3.55,992.25,True
BLK-01-X00Y02-B4,MOIL-DB-01,-1000.0,-600.0,260.0,60.0,21.54241,79.694491,150000.0,3.45,517500.0,23.44,121302.0,0.76,122 (Indicated Resource),Medium Grade Gondite,4.09,1144.05,True
BLK-01-X00Y03-B1,MOIL-DB-01,-1000.0,-400.0,305.0,15.0,21.544207,79.694491,150000.0,2.85,427500.0,17.7,75667.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,2.12,672.9,True
BLK-01-X00Y03-B2,MOIL-DB-01,-1000.0,-400.0,290.0,30.0,21.544207,79.694491,150000.0,3.45,517500.0,27.66,143140.5,0.76,122 (Indicated Resource),Medium Grade Gondite,3.0,840.0,True
BLK-01-X00Y03-B3,MOIL-DB-01,-1000.0,-400.0,275.0,45.0,21.544207,79.694491,150000.0,3.45,517500.0,32.61,168756.8,0.76,122 (Indicated Resource),Medium Grade Gondite,3.96,1010.7,True
BLK-01-X00Y03-B4,MOIL-DB-01,-1000.0,-400.0,260.0,60.0,21.544207,79.694491,150000.0,2.85,427500.0,13.71,58610.2,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,4.28,1152.6,True
BLK-01-X00Y04-B1,MOIL-DB-01,-1000.0,-200.0,305.0,15.0,21.546003,79.694491,150000.0,2.85,427500.0,4.41,18852.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.11,717.45,True
BLK-01-X00Y04-B2,MOIL-DB-01,-1000.0,-200.0,290.0,30.0,21.546003,79.694491,150000.0,2.85,427500.0,17.29,73914.8,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,3.9,880.5,True
BLK-01-X00Y04-B3,MOIL-DB-01,-1000.0,-200.0,275.0,45.0,21.546003,79.694491,150000.0,3.45,517500.0,33.32,172431.0,0.76,122 (Indicated Resource),Medium Grade Gondite,4.38,1029.6,True
BLK-01-X00Y04-B4,MOIL-DB-01,-1000.0,-200.0,260.0,60.0,21.546003,79.694491,150000.0,2.85,427500.0,13.58,58054.5,0.62,333 (Inferred / Reconnaissance),Low Grade / Country Rock,5.19,1193.55,True
