date,year,month,mine_id,mine_name,target_ore_tonnes,actual_ore_tonnes,waste_tonnes,stripping_ratio,target_mn_grade,actual_mn_grade,recovery_pct,recovered_mn_tonnes,working_days,scheduled_hours,operating_hours,downtime_hours,fleet_availability_pct,fleet_utilization_pct,tonnage_shortfall,shortfall_pct,shortfall_risk_status,power_outage_hours,is_synthetic
2023-01-01,2023,1,MOIL-DB-01,Dongri Buzurg Mine,33931,34925,115025,3.29,40.5,43.09,88.3,13288.4,26,520.0,341.6,178.4,87.7,74.9,-994,-2.9,On Track,31.3,True
2023-02-01,2023,2,MOIL-DB-01,Dongri Buzurg Mine,34804,32594,90878,2.79,40.5,41.12,80.4,10775.7,26,520.0,341.0,179.0,83.0,79.0,2210,6.3,Moderate Warning,23.2,True
2023-03-01,2023,3,MOIL-DB-01,Dongri Buzurg Mine,34899,36140,110293,3.05,40.5,40.19,84.0,12200.7,25,500.0,375.7,124.3,91.4,82.2,-1241,-3.6,On Track,34.4,True
2023-04-01,2023,4,MOIL-DB-01,Dongri Buzurg Mine,34349,32355,115248,3.56,40.5,41.27,83.6,11163.0,25,500.0,354.8,145.2,83.2,85.3,1994,5.8,Moderate Warning,13.5,True
2023-05-01,2023,5,MOIL-DB-01,Dongri Buzurg Mine,35461,32168,87554,2.72,40.5,40.45,89.0,11580.6,27,540.0,359.0,181.0,82.9,80.2,3293,9.3,Moderate Warning,33.7,True
2023-06-01,2023,6,MOIL-DB-01,Dongri Buzurg Mine,34886,35569,120262,3.38,40.5,40.58,91.2,13163.7,25,500.0,363.4,136.6,85.4,85.1,-683,-2.0,On Track,21.1,True
2023-07-01,2023,7,MOIL-DB-01,Dongri Buzurg Mine,34106,22032,79117,3.59,40.5,40.45,86.4,7699.9,22,440.0,301.0,139.0,80.4,85.1,12074,35.4,Critical Shortfall,7.0,True
2023-08-01,2023,8,MOIL-DB-01,Dongri Buzurg Mine,36653,25890,88535,3.42,40.5,40.13,83.8,8706.5,22,440.0,255.8,184.2,75.4,77.1,10763,29.4,Critical Shortfall,27.1,True
2023-09-01,2023,9,MOIL-DB-01,Dongri Buzurg Mine,33361,21806,49265,2.26,40.5,37.81,92.0,7585.3,22,440.0,269.8,170.2,73.6,83.3,11555,34.6,Critical Shortfall,12.3,True
2023-10-01,2023,10,MOIL-DB-01,Dongri Buzurg Mine,34092,31091,98738,3.18,40.5,40.9,87.8,11164.8,25,500.0,326.5,173.5,78.1,83.6,3001,8.8,Moderate Warning,22.6,True
2023-11-01,2023,11,MOIL-DB-01,Dongri Buzurg Mine,35700,35323,89046,2.52,40.5,40.27,88.0,12517.6,27,540.0,352.3,187.7,91.5,71.3,377,1.1,On Track,14.2,True
2023-12-01,2023,12,MOIL-DB-01,Dongri Buzurg Mine,36078,34973,93580,2.68,40.5,41.5,85.0,12336.7,27,540.0,354.6,185.4,82.5,79.6,1105,3.1,On Track,28.1,True
2024-01-01,2024,1,MOIL-DB-01,Dongri Buzurg Mine,35054,31134,104971,3.37,40.5,42.86,86.4,11529.2,26,520.0,288.6,231.4,78.4,70.8,3920,11.2,Moderate Warning,21.1,True
2024-02-01,2024,2,MOIL-DB-01,Dongri Buzurg Mine,35244,33859,92402,2.73,40.5,40.33,90.8,12399.0,25,500.0,310.2,189.8,86.3,71.9,1385,3.9,On Track,11.7,True
2024-03-01,2024,3,MOIL-DB-01,Dongri Buzurg Mine,34001,35796,102589,2.87,40.5,41.52,88.5,13153.3,27,540.0,371.8,168.2,87.7,78.5,-1795,-5.3,On Track,20.2,True
2024-04-01,2024,4,MOIL-DB-01,Dongri Buzurg Mine,35848,36185,99955,2.76,40.5,39.93,88.0,12714.8,26,520.0,349.5,170.5,85.3,78.8,-337,-0.9,On Track,22.5,True
2024-05-01,2024,5,MOIL-DB-01,Dongri Buzurg Mine,34553,31907,100767,3.16,40.5,40.27,83.1,10677.5,27,540.0,381.3,158.7,82.2,85.9,2646,7.7,Moderate Warning,17.2,True
2024-06-01,2024,6,MOIL-DB-01,Dongri Buzurg Mine,36137,36931,83325,2.26,40.5,38.55,81.7,11631.5,25,500.0,320.6,179.4,90.7,70.7,-794,-2.2,On Track,25.9,True
2024-07-01,2024,7,MOIL-DB-01,Dongri Buzurg Mine,36123,21391,70466,3.29,40.5,40.25,85.9,7395.9,22,440.0,237.4,202.6,70.8,76.2,14732,40.8,Critical Shortfall,13.0,True
2024-08-01,2024,8,MOIL-DB-01,Dongri Buzurg Mine,33463,19100,50256,2.63,40.5,38.91,90.5,6725.8,22,440.0,234.1,205.9,68.2,78.0,14363,42.9,Critical Shortfall,16.0,True
2024-09-01,2024,9,MOIL-DB-01,Dongri Buzurg Mine,35181,26631,90048,3.38,40.5,39.3,91.5,9576.4,22,440.0,273.3,166.7,81.2,76.5,8550,24.3,Critical Shortfall,29.6,True
