mine_id,grid_x,grid_y,latitude,longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,NDBI,iron_oxide_index,clay_mineral_index,ferrous_index,exploration_potential_score,potential_class,spectral_zone_type,is_synthetic
MOIL-DB-01,-1200.0,-1200.0,21.53702,79.69255,0.0283,0.1173,0.0695,0.7001,0.2145,0.0931,0.8193,-0.7131,-0.531,2.453,2.304,1.993,76.3,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-1100.0,21.537919,79.69255,0.0228,0.1034,0.0381,0.6769,0.2162,0.0649,0.8935,-0.7349,-0.5159,1.668,3.332,3.035,79.6,High Potential Exploration Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-1000.0,21.538817,79.69255,0.109,0.1675,0.2217,0.2897,0.3949,0.241,0.133,-0.2673,0.1537,2.033,1.639,2.119,80.3,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,-900.0,21.539715,79.69255,0.0382,0.0607,0.0466,0.6802,0.2172,0.0966,0.8718,-0.836,-0.516,1.22,2.249,1.623,57.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-800.0,21.540614,79.69255,0.024,0.1183,0.0313,0.5924,0.1491,0.107,0.8995,-0.6672,-0.5978,1.308,1.394,4.025,43.9,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-700.0,21.541512,79.69255,0.0807,0.1449,0.1651,0.249,0.3701,0.2554,0.2025,-0.2644,0.1956,2.046,1.449,2.364,73.5,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,-600.0,21.54241,79.69255,0.0893,0.1281,0.2021,0.2882,0.3434,0.2348,0.1756,-0.3845,0.0875,2.262,1.462,1.826,76.5,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,-500.0,21.543308,79.69255,0.0367,0.0767,0.0432,0.4995,0.1346,0.0737,0.8408,-0.7338,-0.5754,1.177,1.826,2.045,49.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-400.0,21.544207,79.69255,0.1062,0.1561,0.2353,0.2826,0.3674,0.2649,0.0912,-0.2883,0.1305,2.216,1.387,1.963,76.5,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,-300.0,21.545105,79.69255,0.1068,0.1559,0.2179,0.3026,0.3158,0.2489,0.1627,-0.3199,0.0214,2.04,1.269,1.759,70.2,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,-200.0,21.546003,79.69255,0.037,0.0653,0.0535,0.5434,0.1839,0.0704,0.8207,-0.7856,-0.4942,1.447,2.614,1.558,63.5,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,-100.0,21.546902,79.69255,0.043,0.1186,0.0664,0.586,0.1688,0.0806,0.7963,-0.6633,-0.5526,1.543,2.094,2.073,57.3,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,0.0,21.5478,79.69255,0.09,0.1236,0.2157,0.2613,0.2889,0.3029,0.0956,-0.358,0.0502,2.398,0.954,1.678,70.7,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,100.0,21.548698,79.69255,0.0416,0.092,0.0365,0.4666,0.2017,0.0651,0.855,-0.6706,-0.3963,0.877,3.098,2.955,62.5,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,200.0,21.549597,79.69255,0.0346,0.1145,0.0521,0.6066,0.152,0.1171,0.8418,-0.6825,-0.5994,1.508,1.298,2.448,42.9,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,300.0,21.550495,79.69255,0.0201,0.0889,0.0446,0.4587,0.1632,0.1041,0.8229,-0.6752,-0.4752,2.211,1.567,2.352,55.4,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,400.0,21.551393,79.69255,0.0392,0.0948,0.0568,0.5547,0.157,0.0503,0.8141,-0.7081,-0.5588,1.451,3.12,1.951,70.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,500.0,21.552292,79.69255,0.137,0.1705,0.182,0.2601,0.4116,0.2501,0.1767,-0.208,0.2255,1.328,1.646,2.519,65.6,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,600.0,21.55319,79.69255,0.0207,0.0934,0.0672,0.6889,0.1702,0.0955,0.8222,-0.7613,-0.6038,3.252,1.783,1.637,70.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,700.0,21.554088,79.69255,0.022,0.0611,0.0686,0.5191,0.1584,0.0856,0.7667,-0.7894,-0.5323,3.115,1.85,1.197,71.1,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,800.0,21.554986,79.69255,0.0407,0.0941,0.051,0.6392,0.1864,0.1132,0.8523,-0.7434,-0.5484,1.252,1.647,2.137,44.1,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,900.0,21.555885,79.69255,0.0326,0.1065,0.062,0.4959,0.1437,0.1171,0.7777,-0.6464,-0.5507,1.899,1.227,2.008,47.4,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,1000.0,21.556783,79.69255,0.0356,0.0717,0.0492,0.6507,0.1682,0.072,0.8593,-0.8015,-0.5891,1.384,2.335,1.715,55.6,Medium Potential Zone,Dense / Moderate Canopy,True
MOIL-DB-01,-1200.0,1100.0,21.557681,79.69255,0.1357,0.1723,0.2233,0.2894,0.3522,0.3277,0.1289,-0.2536,0.0978,1.646,1.075,1.988,61.5,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1200.0,1200.0,21.55858,79.69255,0.0445,0.0717,0.0469,0.6408,0.1571,0.0846,0.8635,-0.7988,-0.6062,1.055,1.858,1.772,44.4,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,-1200.0,21.53702,79.69352,0.0331,0.1055,0.0347,0.6439,0.1345,0.1156,0.8979,-0.7184,-0.6544,1.046,1.163,3.254,42.8,Low Potential / Barren,Dense / Moderate Canopy,True
MOIL-DB-01,-1100.0,-1100.0,21.537919,79.69352,0.1277,0.1513,0.1673,0.2783,0.4077,0.2389,0.2491,-0.2956,0.1887,1.31,1.707,2.37,72.2,Medium Potential Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-1000.0,21.538817,79.69352,0.1063,0.1365,0.2355,0.2578,0.3721,0.2469,0.0451,-0.3075,0.1816,2.214,1.507,2.023,84.6,High Potential Exploration Zone,Barren Soil & Country Rock,True
MOIL-DB-01,-1100.0,-900.0,21.539715,79.69352,0.0906,0.1461,0.2026,0.2211,0.3966,0.2815,0.0435,-0.2042,0.2842,2.238,1.409,2.515,82.5,High Potential Exploration Zone,Barren Soil & Country Rock,True
